AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_16-26-23,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
76,16:26:31:712,   45.21,    1.05,    1.05,    1.07,    3.70,    0.86,    0.82,    0.88,    0.81,    0.87,    0.85,    0.85,    0.99
77,16:26:31:814,   45.05,    1.03,    1.03,    1.05,    3.66,    0.90,    0.87,    0.86,    1.01,    0.78,    0.83,    0.86,    0.84
78,16:26:31:916,   44.96,    1.07,    1.05,    1.07,    3.68,    0.84,    1.00,    0.87,    0.84,    0.88,    0.94,    0.95,    0.93
79,16:26:32:018,   45.09,    1.27,    1.06,    1.08,    3.74,    0.98,    0.81,    0.81,    0.81,    0.82,    0.78,    0.82,    0.84
80,16:26:32:120,   44.74,    1.09,    1.01,    1.04,    3.67,    0.86,    0.79,    0.80,    0.77,    0.77,    0.82,    0.85,    0.78
81,16:26:32:222,   44.90,    1.06,    1.05,    1.08,    3.73,    0.80,    0.90,    0.87,    0.90,    0.88,    0.83,    0.84,    0.76
82,16:26:32:324,   45.01,    1.06,    1.06,    1.08,    3.73,    0.85,    0.81,    0.81,    0.80,    0.80,    0.78,    0.84,    0.81
83,16:26:32:427,   45.27,    1.06,    1.06,    1.07,    3.68,    0.82,    0.84,    0.88,    0.84,    0.93,    0.89,    0.82,    0.86
84,16:26:32:530,   45.10,    1.02,    1.01,    1.03,    3.58,    0.89,    0.96,    0.85,    0.82,    0.89,    0.85,    0.87,    0.93
85,16:26:32:634,   44.95,    0.96,    0.93,    0.94,    3.40,    1.00,    0.89,    0.89,    0.95,    1.08,    0.89,    0.84,    1.35
86,16:26:32:737,   45.23,    3.48,    1.03,    1.04,    1.99,    0.93,    0.85,    0.98,    1.02,    0.95,    0.89,    0.80,    0.88
87,16:26:32:839,   44.31,    1.72,    1.05,    1.04,    3.15,    0.87,    0.84,    0.80,    0.86,    0.91,    0.85,    0.99,    0.86
88,16:26:32:941,   45.00,    1.10,    1.08,    1.11,    3.80,    0.89,    0.90,    0.89,    0.91,    0.84,    0.89,    0.87,    0.87
89,16:26:33:043,   45.05,    1.06,    1.04,    1.07,    3.67,    0.86,    0.84,    0.86,    0.88,    0.84,    0.86,    0.86,    0.86
90,16:26:33:145,   44.99,    1.07,    1.06,    1.09,    3.73,    0.82,    0.83,    0.84,    0.85,    0.91,    0.88,    0.86,    0.89
91,16:26:33:248,   44.59,    1.04,    1.05,    1.06,    3.66,    0.86,    0.84,    0.87,    0.96,    0.87,    0.95,    0.85,    0.84
92,16:26:33:350,   45.59,    1.10,    1.08,    1.10,    3.74,    0.95,    0.86,    0.84,    0.80,    0.84,    0.87,    0.88,    0.83
93,16:26:33:452,   45.08,    1.09,    1.07,    1.09,    3.77,    0.86,    0.87,    0.84,    0.93,    0.85,    0.88,    0.85,    0.91
94,16:26:33:554,   44.92,    1.09,    1.08,    1.11,    3.76,    0.86,    0.92,    0.94,    0.93,    0.87,    0.96,    0.92,    0.87
95,16:26:33:656,   45.10,    1.04,    1.03,    1.05,    3.67,    0.90,    0.85,    0.85,    0.87,    0.86,    0.87,    0.84,    0.84
96,16:26:33:758,   45.02,    1.03,    1.02,    1.04,    3.64,    0.85,    0.82,    1.06,    0.85,    0.86,    0.86,    0.94,    0.95
97,16:26:33:860,   44.95,    1.07,    1.08,    1.09,    3.69,    0.88,    0.94,    0.92,    0.87,    0.88,    0.97,    0.91,    1.03
98,16:26:33:962,   44.99,    1.08,    1.08,    1.10,    3.79,    0.93,    0.85,    0.86,    0.87,    0.90,    0.90,    0.86,    0.89
99,16:26:34:064,   44.76,    1.04,    1.03,    1.06,    3.68,    0.85,    0.84,    0.84,    0.91,    0.87,    1.00,    0.83,    0.82
100,16:26:34:166,   44.81,    1.08,    1.07,    1.09,    3.73,    0.85,    0.92,    0.84,    0.86,    0.88,    0.97,    0.80,    0.83
101,16:26:34:268,   45.16,    1.08,    1.07,    1.09,    3.74,    0.89,    0.88,    0.84,    0.89,    0.94,    0.86,    0.88,    0.89
102,16:26:34:370,   45.11,    1.08,    1.09,    1.08,    3.72,    0.87,    0.90,    0.91,    0.84,    0.88,    0.91,    0.87,    0.88
103,16:26:34:473,   45.13,    1.07,    1.06,    1.09,    3.71,    0.86,    0.86,    0.83,    0.86,    0.79,    0.87,    0.88,    0.86
104,16:26:34:575,   45.19,    1.04,    1.04,    1.06,    3.66,    0.86,    0.88,    0.96,    0.88,    0.83,    0.98,    0.87,    0.86
105,16:26:34:677,   45.00,    1.07,    1.05,    1.08,    3.72,    0.87,    0.86,    0.85,    0.88,    0.81,    0.95,    0.87,    0.89
106,16:26:34:780,   44.85,    1.04,    1.04,    1.06,    3.72,    1.04,    0.84,    0.89,    0.93,    0.87,    0.91,    0.88,    0.89
107,16:26:34:882,   44.61,    0.99,    0.97,    1.00,    3.50,    0.89,    0.85,    0.78,    0.85,    0.82,    0.85,    0.87,    1.01
108,16:26:34:985,   45.03,    1.05,    1.05,    1.07,    3.66,    0.86,    0.82,    0.91,    0.97,    0.89,    0.88,    0.90,    0.84
109,16:26:35:087,   45.01,    1.08,    1.06,    1.08,    3.75,    0.85,    0.83,    0.90,    0.81,    0.91,    0.88,    0.86,    0.86
110,16:26:35:189,   45.21,    1.06,    1.05,    1.08,    3.73,    0.89,    0.89,    0.81,    0.85,    0.88,    0.84,    0.79,    0.87
111,16:26:35:291,   44.94,    1.08,    1.07,    1.09,    3.78,    0.83,    0.82,    0.95,    0.84,    0.87,    0.89,    0.84,    0.89
112,16:26:35:394,   44.80,    1.06,    1.06,    1.08,    3.76,    0.86,    0.92,    0.88,    0.84,    0.89,    0.89,    0.94,    0.92
113,16:26:35:496,   45.01,    1.07,    1.05,    1.08,    3.76,    0.90,    0.81,    0.85,    0.86,    0.88,    0.86,    0.96,    0.85
114,16:26:35:598,   44.92,    1.06,    1.05,    1.08,    3.76,    0.86,    0.84,    0.87,    0.95,    0.83,    0.87,    0.91,    0.81
115,16:26:35:700,   44.92,    1.05,    1.05,    1.09,    3.76,    0.87,    0.83,    0.86,    0.93,    0.94,    0.86,    0.89,    0.91
116,16:26:35:802,   44.72,    1.06,    1.05,    1.10,    3.75,    1.05,    0.86,    0.84,    0.88,    0.90,    0.86,    0.91,    0.88
117,16:26:35:905,   45.66,    1.06,    1.06,    1.08,    3.73,    0.94,    0.95,    1.05,    0.82,    0.83,    0.88,    0.93,    0.95
118,16:26:36:007,   44.97,    1.09,    1.08,    1.11,    3.80,    0.85,    0.83,    0.85,    0.83,    0.84,    0.91,    0.96,    0.91
119,16:26:36:110,   45.03,    1.15,    1.14,    1.15,    3.75,    0.88,    0.92,    0.88,    0.93,    0.94,    0.98,    0.93,    0.87
120,16:26:36:212,   45.19,    1.08,    1.08,    1.10,    3.77,    0.93,    0.87,    0.89,    0.94,    0.91,    0.87,    0.97,    0.90
121,16:26:36:315,   44.40,    1.06,    1.06,    1.08,    3.72,    0.88,    0.88,    0.90,    0.83,    0.87,    0.90,    0.86,    0.83
122,16:26:36:416,   45.05,    1.08,    1.06,    1.08,    3.79,    0.84,    0.99,    0.84,    0.86,    0.85,    0.84,    0.88,    0.85
123,16:26:36:518,   45.17,    1.08,    1.06,    1.10,    3.82,    0.87,    0.82,    0.84,    0.84,    0.78,    0.84,    0.90,    0.85
124,16:26:36:621,   44.43,    1.06,    1.08,    1.09,    3.73,    0.84,    0.91,    0.93,    0.92,    0.96,    0.97,    0.86,    0.89
125,16:26:36:723,   45.66,    1.06,    1.04,    1.08,    3.74,    0.96,    0.87,    0.86,    0.87,    1.05,    0.93,    0.91,    0.86
126,16:26:36:826,   44.58,    1.04,    1.03,    1.07,    3.67,    1.01,    0.87,    0.91,    0.85,    0.85,    0.90,    0.88,    0.85
127,16:26:36:928,   45.67,    1.06,    1.06,    1.08,    3.72,    0.87,    0.88,    0.88,    0.90,    0.89,    0.84,    0.94,    1.06
128,16:26:37:029,   44.99,    1.07,    1.04,    1.07,    3.71,    0.89,    0.84,    0.85,    0.83,    0.81,    0.91,    0.84,    0.88
129,16:26:37:132,   44.81,    1.04,    1.03,    1.05,    3.73,    0.81,    0.83,    0.83,    0.87,    0.85,    0.91,    0.82,    0.93
130,16:26:37:235,   44.44,    1.04,    1.03,    1.06,    3.66,    0.88,    0.83,    0.85,    0.85,    0.92,    1.04,    0.83,    0.86
131,16:26:37:337,   44.76,    1.07,    1.07,    1.10,    3.73,    0.83,    0.84,    0.87,    0.83,    0.83,    0.85,    0.83,    0.89
132,16:26:37:439,   45.74,    1.08,    1.07,    1.09,    3.75,    0.89,    0.96,    0.85,    0.87,    0.83,    0.88,    0.87,    0.82
133,16:26:37:541,   45.05,    1.05,    1.05,    1.07,    3.73,    0.89,    0.86,    0.85,    0.83,    0.85,    0.84,    0.90,    0.87
134,16:26:37:645,   45.06,    1.11,    1.11,    1.13,    3.85,    0.84,    0.88,    0.89,    0.94,    0.91,    0.93,    0.85,    0.91
135,16:26:37:748,   44.98,    1.06,    1.08,    1.09,    3.71,    0.91,    0.86,    0.87,    1.09,    0.93,    0.92,    0.82,    0.92
136,16:26:37:851,   44.64,    1.08,    1.06,    1.09,    3.73,    0.89,    0.87,    0.89,    0.88,    0.89,    0.87,    0.92,    0.85
137,16:26:37:953,   44.99,    1.04,    1.03,    1.05,    3.70,    0.94,    0.94,    0.89,    0.86,    0.92,    0.91,    0.92,    0.85
138,16:26:38:054,   45.13,    1.11,    1.11,    1.13,    3.89,    1.04,    0.91,    0.93,    0.87,    0.94,    0.94,    0.90,    0.89
139,16:26:38:156,   45.06,    1.05,    1.05,    1.09,    3.73,    0.88,    0.86,    0.87,    0.90,    0.84,    0.92,    0.92,    0.95
140,16:26:38:259,   44.89,    1.07,    1.07,    1.09,    3.77,    0.88,    0.86,    0.89,    0.83,    0.85,    0.92,    0.90,    0.81
141,16:26:38:363,   44.69,    1.07,    1.06,    1.09,    3.73,    0.90,    0.87,    0.84,    0.83,    0.85,    0.86,    0.91,    0.84
142,16:26:38:465,   45.11,    1.07,    1.06,    1.08,    3.73,    0.89,    0.88,    0.86,    0.88,    0.84,    0.88,    0.95,    0.85
143,16:26:38:566,   45.40,    1.10,    1.09,    1.13,    3.82,    0.87,    0.87,    0.93,    0.85,    0.87,    0.87,    0.90,    0.94
144,16:26:38:670,   44.75,    1.08,    1.07,    1.10,    3.73,    0.89,    0.85,    0.87,    0.91,    0.83,    0.89,    0.88,    0.87
145,16:26:38:772,   45.33,    1.06,    1.06,    1.09,    3.79,    0.89,    0.89,    0.86,    0.88,    0.93,    0.87,    0.87,    0.91
146,16:26:38:874,   44.71,    1.08,    1.07,    1.08,    3.74,    1.06,    0.86,    0.92,    0.83,    0.85,    0.82,    0.89,    0.97
147,16:26:38:978,   44.71,    1.03,    1.01,    1.04,    3.56,    0.86,    0.82,    0.81,    1.02,    0.81,    0.84,    0.79,    0.91
148,16:26:39:080,   45.13,    1.06,    1.06,    1.09,    3.71,    0.81,    0.84,    0.84,    0.84,    0.91,    0.95,    0.96,    0.91
149,16:26:39:182,   45.32,    1.08,    1.07,    1.10,    3.77,    0.86,    0.91,    0.88,    0.89,    0.90,    0.95,    0.87,    0.86
150,16:26:39:285,   45.06,    1.12,    1.10,    1.13,    3.91,    0.85,    0.90,    0.88,    0.86,    0.90,    0.93,    0.91,    0.97
151,16:26:39:388,   43.48,    1.04,    1.05,    1.07,    3.48,    0.88,    0.82,    0.98,    0.97,    0.91,    0.99,    0.96,    0.91
152,16:26:39:490,   46.12,    1.15,    1.14,    1.16,    3.91,    0.87,    0.92,    0.94,    0.88,    0.87,    0.93,    0.93,    0.91
153,16:26:39:593,   44.89,    1.08,    1.06,    1.09,    3.74,    0.89,    0.85,    0.88,    0.86,    0.89,    0.87,    0.91,    0.94
154,16:26:39:696,   44.76,    1.05,    1.03,    1.06,    3.64,    0.84,    0.91,    0.88,    0.81,    0.87,    0.85,    0.90,    0.84
155,16:26:39:798,   45.19,    1.07,    1.07,    1.09,    3.64,    0.85,    0.91,    0.92,    0.95,    0.86,    0.88,    1.00,    0.96
156,16:26:39:901,   45.06,    1.07,    1.07,    1.11,    3.71,    1.06,    0.88,    0.88,    0.85,    0.88,    0.88,    0.93,    0.90
157,16:26:40:004,   45.08,    1.03,    1.03,    1.06,    3.50,    0.96,    0.84,    0.81,    0.79,    0.84,    0.85,    0.96,    0.86
158,16:26:40:106,   45.46,    1.02,    1.02,    1.06,    3.58,    0.86,    0.81,    0.94,    0.81,    0.81,    0.88,    0.85,    0.87
159,16:26:40:208,   44.51,    1.05,    1.03,    1.05,    3.63,    0.86,    0.83,    0.82,    0.84,    0.88,    0.90,    0.79,    0.90
160,16:26:40:310,   44.96,    1.05,    1.04,    1.06,    3.68,    0.82,    0.86,    0.86,    0.88,    0.87,    0.92,    0.88,    0.80
161,16:26:40:412,   44.77,    1.03,    1.03,    1.06,    3.66,    0.82,    0.85,    0.81,    0.80,    0.83,    0.82,    0.92,    0.80
