AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_13-22-05,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
44,13:22:9:779,   42.66,    4.69,    4.74,    4.69,    4.66,    1.78,    1.71,    2.61,    2.31,    2.56,    2.27,    1.32,    2.55
45,13:22:9:881,   42.60,    4.68,    4.69,    4.77,    4.73,    1.79,    1.81,    2.23,    2.63,    2.23,    2.25,    2.39,    1.95
46,13:22:9:984,   42.84,    4.89,    4.71,    4.68,    4.63,    1.80,    2.27,    2.59,    1.92,    2.59,    1.54,    2.19,    2.05
47,13:22:10:085,   42.47,    4.89,    4.58,    4.79,    4.73,    2.27,    1.92,    2.53,    1.89,    1.92,    1.83,    2.59,    2.59
48,13:22:10:187,   42.91,    4.81,    4.59,    4.76,    4.85,    2.31,    2.60,    1.79,    1.83,    2.51,    2.31,    2.21,    1.73
49,13:22:10:288,   42.90,    4.98,    4.70,    4.74,    5.07,    1.95,    1.72,    2.64,    2.45,    1.80,    2.63,    2.15,    1.43
50,13:22:10:391,   43.31,    4.74,    4.53,    4.91,    4.65,    1.53,    2.15,    2.23,    2.60,    2.56,    2.61,    1.97,    1.92
51,13:22:10:492,   43.30,    4.84,    4.39,    4.54,    4.76,    1.91,    2.36,    1.70,    2.69,    2.60,    2.68,    1.58,    2.61
52,13:22:10:592,   42.90,    4.69,    4.76,    4.37,    4.71,    2.34,    2.61,    2.33,    1.81,    2.52,    2.58,    1.56,    1.81
53,13:22:10:692,   43.09,    4.66,    4.60,    4.74,    4.71,    2.62,    2.10,    2.64,    2.09,    2.38,    2.37,    1.94,    1.49
54,13:22:10:793,   43.56,    5.11,    4.75,    4.78,    4.94,    2.03,    2.11,    2.01,    2.63,    2.35,    1.76,    2.13,    2.20
55,13:22:10:895,   42.81,    4.74,    4.77,    4.59,    4.67,    2.13,    1.38,    1.42,    1.81,    2.51,    2.62,    2.54,    2.56
56,13:22:10:995,   42.78,    4.67,    4.71,    4.77,    4.73,    2.61,    1.43,    1.81,    1.90,    2.21,    2.16,    2.50,    2.62
57,13:22:11:095,   44.13,    5.25,    4.75,    4.81,    4.65,    2.29,    2.48,    2.14,    2.27,    2.06,    2.21,    2.37,    2.05
58,13:22:11:196,   42.89,    5.07,    4.54,    4.83,    4.62,    2.12,    2.00,    2.30,    2.60,    1.86,    2.05,    2.31,    2.00
59,13:22:11:298,   42.39,    4.64,    4.65,    4.72,    4.61,    1.35,    1.34,    2.58,    2.61,    2.57,    1.37,    2.56,    2.56
60,13:22:11:401,   42.74,    4.70,    4.73,    4.73,    4.70,    1.41,    1.49,    2.62,    2.65,    2.61,    1.48,    2.58,    2.61
61,13:22:11:504,   43.02,    4.71,    4.56,    4.56,    5.07,    1.36,    2.10,    2.59,    2.61,    2.59,    1.52,    2.29,    2.19
62,13:22:11:606,   42.44,    5.10,    4.45,    4.61,    4.63,    1.82,    2.36,    2.58,    2.60,    2.16,    1.38,    2.58,    1.37
63,13:22:11:705,   42.62,    4.67,    4.82,    4.73,    4.71,    2.60,    1.48,    2.61,    2.63,    2.57,    1.42,    2.54,    1.49
